STATE/UT,DISTRICT,YEAR,MURDER,CULPABLE HOMICIDE,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,DOWRY DEATHS,ASSAULT ON WOMEN,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,,,,,
HIMACHAL PRADESH,TOTAL,2005,110,22,141,118,6,22,696,696,558,82,163,2,286,29,228,,,,,
JAMMU & KASHMIR,TOTAL,2005,647,37,201,748,13,116,1397,1901,1222,117,403,5,830,371,76,,,,,
JHARKHAND,TOTAL,2005,1523,87,753,621,592,732,1610,6195,2524,243,643,257,293,36,590,,,,,
KARNATAKA,TOTAL,2005,1609,80,343,589,208,1202,5986,17008,6151,434,2909,261,1585,71,1883,,,,,
KERALA,TOTAL,2005,388,88,478,226,110,621,4110,5454,6535,361,3261,21,2339,175,3283,,,,,
MADHYA PRADESH,TOTAL,2005,2405,134,2921,847,147,1557,11192,20685,2573,613,1292,739,6426,792,2989,,,,,
MAHARASHTRA,TOTAL,2005,2621,98,1545,1194,641,2411,15615,46851,6779,1720,6391,341,3228,919,6233,,,,,
MANIPUR,TOTAL,2005,256,4,25,106,4,8,62,243,35,52,122,0,25,0,20,,,,,
MEGHALAYA,TOTAL,2005,134,2,63,48,81,95,148,476,42,18,39,1,44,0,3,,,,,
MIZORAM,TOTAL,2005,24,5,37,13,3,6,442,777,35,11,58,4,49,4,0,,,,,
NAGALAND,TOTAL,2005,87,8,17,26,12,80,93,294,8,17,41,0,7,0,0,,,,,
ODISHA,TOTAL,2005,1079,48,799,641,184,998,3029,6743,1515,301,1040,334,2238,184,1671,,,,,
PUNJAB,TOTAL,2005,713,216,398,478,27,85,1933,2924,1,306,2934,99,308,43,729,,,,,
RAJASTHAN,TOTAL,2005,1221,59,993,1993,41,590,5227,17898,2290,613,8341,361,2503,28,5997,,,,,
SIKKIM,TOTAL,2005,8,2,18,3,2,4,85,81,19,4,44,0,38,0,4,,,,,
TAMIL NADU,TOTAL,2005,1440,28,571,1029,73,437,3738,15851,2551,239,2694,215,1764,665,1650,,,,,
TRIPURA,TOTAL,2005,121,1,162,85,22,61,170,325,148,32,59,34,161,1,439,,,,,
UTTAR PRADESH,TOTAL,2005,5711,1520,1217,2955,286,2049,4556,20695,3926,2524,4556,1564,1835,2881,4505,,,,,
UTTARAKHAND,TOTAL,2005,279,30,133,203,48,159,521,1630,433,144,396,63,100,89,272,,,,,
WEST BENGAL,TOTAL,2005,1453,408,1686,1207,211,426,739,12124,2635,528,1760,446,1572,54,6936,,,,,
A & N ISLANDS,TOTAL,2005,14,3,4,2,0,4,68,92,4,8,13,0,11,1,5,,,,,
CHANDIGARH,TOTAL,2005,18,4,33,54,0,12,223,1373,43,41,161,3,31,9,75,,,,,
D & N HAVELI,TOTAL,2005,7,0,5,13,3,2,25,74,18,12,10,0,5,0,5,,,,,
DAMAN & DIU,TOTAL,2005,5,0,2,4,4,0,37,50,19,6,3,1,1,0,3,,,,,
DELHI,TOTAL,2005,455,64,658,1590,27,510,2093,17955,61,394,2378,114,762,225,1324,,,,,
LAKSHADWEEP,TOTAL,2005,1,0,0,0,0,0,2,7,6,0,0,0,0,0,0,,,,,
PUDUCHERRY,TOTAL,2005,19,8,6,6,1,5,67,466,159,8,41,4,60,26,6,,,,,
ANDHRA PRADESH,TOTAL,2006,2766,123,1049,2030,178,679,8304,23510,2916,1007,8363,519,4534,2411,9164,,,,,
ARUNACHAL PRADESH,TOTAL,2006,60,3,37,75,28,74,257,451,6,61,38,1,63,2,14,,,,,
ASSAM,TOTAL,2006,1207,32,1244,1825,319,544,2911,7820,2684,461,905,105,1290,10,2548,,,,,
BIHAR,TOTAL,2006,3249,326,1232,2619,1001,2169,3531,11752,8259,1054,2171,1188,530,53,1689,,,,,
CHHATTISGARH,TOTAL,2006,1098,15,995,239,160,439,3507,5262,905,137,507,103,1598,143,717,,,,,
GOA,TOTAL,2006,39,1,21,16,7,17,252,494,63,35,55,0,18,7,14,,,,,
GUJARAT,TOTAL,2006,1165,24,354,1128,290,970,5530,18475,1534,1246,1529,50,736,138,4977,,,,,
